longitude,latitude,all,human,social,natural,physical,financial,opedu,spedu,health,member,partners,internet,pgi,dams,veg_potential,plantmachine,structure,livestock,capital,mtci,access,rain_cv,pgi_cv,fcr_cv
146.8,-43.6,32,70,12,24,24,26,86,90,26,7,27,21,29,43,12,32,34,24,26,33,44,13,11,2
147.2,-43.6,28,70,8,23,19,25,87,93,24,7,24,16,21,42,13,28,26,18,26,22,45,13,12,2
147.6,-43.6,30,71,8,26,21,24,86,95,29,5,28,12,30,48,14,27,30,18,26,21,40,12,11,1
148,-43.6,31,71,9,28,24,23,85,95,31,4,32,5,34,56,14,30,35,21,29,21,35,13,9,2
148.4,-43.6,33,72,10,31,26,23,84,94,35,2,35,5,41,60,15,32,38,23,30,21,32,14,9,2
146.8,-43.2,33,71,15,24,24,27,86,87,33,9,29,29,34,41,13,33,35,24,26,35,47,19,9,2
147.2,-43.2,29,70,10,23,19,25,87,91,29,9,23,24,24,38,14,28,25,16,25,22,47,14,13,3
147.6,-43.2,32,71,10,28,23,24,86,95,32,6,33,10,34,52,14,29,34,19,29,22,39,14,11,1
148,-43.2,35,73,12,33,28,23,84,94,39,3,38,6,45,63,15,33,41,23,31,23,32,15,9,2
148.4,-43.2,39,75,14,38,33,22,82,92,47,0,43,6,57,70,17,36,47,26,33,23,26,16,10,2
146,-42.8,44,72,30,32,38,28,83,76,42,8,42,41,61,45,14,39,52,34,25,51,39,13,7,3
146.4,-42.8,41,74,25,29,34,30,85,83,42,11,37,39,51,43,13,40,46,30,27,47,47,14,8,3
146.8,-42.8,40,77,27,27,28,31,88,80,51,14,34,50,47,38,15,37,38,22,28,39,55,13,9,1
147.2,-42.8,40,78,29,28,25,31,88,79,65,18,31,62,53,32,18,34,30,11,25,28,56,21,14,4
147.6,-42.8,63,86,34,62,57,31,83,87,71,9,65,12,83,87,20,46,65,31,46,33,32,17,10,2
148,-42.8,58,85,28,63,55,22,80,86,71,0,57,7,86,89,20,45,63,33,41,27,20,17,13,1
148.4,-42.8,56,81,27,62,54,21,79,83,67,0,56,6,86,86,20,45,63,31,41,24,19,17,13,1
146,-42.4,48,61,31,41,46,28,75,56,36,2,47,43,73,50,22,36,54,42,28,49,31,13,7,3
146.4,-42.4,46,76,38,34,34,28,86,65,55,8,42,60,66,42,19,35,45,31,24,47,41,17,7,3
146.8,-42.4,45,86,42,28,26,33,91,74,73,17,30,78,59,28,19,36,33,16,23,40,61,18,11,2
147.2,-42.4,46,89,37,34,28,28,88,80,82,13,17,80,69,26,21,30,33,7,13,27,51,15,13,3
147.6,-42.4,60,85,15,69,47,37,82,82,77,2,33,2,84,99,20,37,43,48,53,51,26,15,14,3
148,-42.4,55,82,23,63,53,20,78,81,71,2,51,2,87,89,20,45,59,35,42,24,15,17,11,1
148.4,-42.4,52,70,28,55,51,21,75,71,55,6,49,17,85,69,22,48,60,26,40,19,24,15,11,1
146,-42,46,42,31,51,40,27,70,36,44,0,36,62,84,38,36,26,37,30,26,25,34,13,8,2
146.4,-42,37,55,43,46,17,15,82,25,59,0,33,88,89,28,39,11,23,17,12,18,22,14,9,2
146.8,-42,55,71,46,51,33,38,90,36,80,3,43,80,85,38,39,29,27,37,33,44,40,16,11,6
147.2,-42,63,73,24,46,48,62,78,89,46,0,53,8,83,21,39,59,45,42,56,79,67,16,14,1
147.6,-42,94,66,70,67,80,74,83,66,71,51,78,74,70,93,31,65,91,72,84,69,87,16,14,1
148,-42,56,55,44,44,51,38,73,52,36,21,49,57,73,47,27,58,52,34,54,29,50,17,13,1
148.4,-42,63,63,55,40,55,45,80,65,45,44,49,69,81,34,26,51,62,40,60,29,61,15,9,1
145.2,-41.6,44,58,23,44,35,31,55,85,47,0,30,21,93,35,20,20,40,21,18,46,29,14,7,1
145.6,-41.6,46,57,26,46,38,32,57,79,49,0,31,28,92,37,21,21,40,24,20,44,31,15,6,1
146,-41.6,51,46,36,52,43,32,66,42,48,0,37,70,87,42,34,26,38,31,28,26,38,15,9,2
146.4,-41.6,41,45,38,48,28,21,74,29,50,0,32,79,89,29,39,17,28,21,18,17,28,15,9,2
146.8,-41.6,45,44,48,42,34,27,71,37,49,0,40,77,87,26,39,23,35,24,30,15,32,17,10,1
147.2,-41.6,27,42,5,34,17,27,49,46,39,0,14,5,87,3,39,20,21,20,24,40,43,17,11,1
147.6,-41.6,56,77,34,36,48,44,72,74,61,0,50,40,79,13,39,34,65,29,53,39,54,17,11,2
148,-41.6,66,70,60,39,56,46,84,72,47,45,56,77,79,32,27,51,65,42,61,29,64,17,11,1
148.4,-41.6,67,70,62,39,57,48,84,73,48,50,56,77,81,31,26,50,67,43,62,30,66,15,11,2
144.4,-41.2,42,60,19,43,31,32,53,87,48,0,28,14,87,38,19,18,36,22,19,50,29,13,8,2
144.8,-41.2,43,59,20,43,33,31,53,88,47,0,29,15,91,36,19,19,39,21,18,49,29,12,7,2
145.2,-41.2,43,58,22,43,35,30,54,86,46,0,30,19,94,34,20,19,40,20,18,47,29,13,7,2
145.6,-41.2,45,58,23,44,36,31,55,83,47,0,30,21,93,35,21,20,40,22,19,45,30,13,6,1
146,-41.2,50,53,30,50,43,33,68,56,55,0,31,49,88,41,28,25,37,33,27,31,35,17,8,1
146.4,-41.2,44,40,34,50,36,27,70,31,43,0,32,70,88,33,39,23,32,25,25,19,34,16,9,1
146.8,-41.2,28,40,18,35,22,17,65,53,16,0,18,22,92,15,26,20,18,21,17,14,21,15,9,3
147.2,-41.2,20,42,7,30,15,11,61,55,14,0,16,6,93,8,24,21,11,18,12,18,20,14,8,4
147.6,-41.2,36,51,9,44,26,28,70,38,40,0,25,0,94,35,32,25,23,35,41,16,44,18,7,1
148,-41.2,65,72,44,52,50,48,94,43,67,28,46,43,91,55,33,37,50,57,71,11,69,14,9,1
148.4,-41.2,65,69,49,49,51,49,90,51,60,35,47,52,89,48,31,41,53,53,68,16,69,14,9,3
144.4,-40.8,42,60,18,43,31,32,54,86,49,0,27,13,85,39,19,18,35,23,19,50,29,14,10,2
144.8,-40.8,42,60,19,43,32,32,53,87,48,0,28,13,88,37,19,19,37,22,19,50,29,13,7,2
145.2,-40.8,43,59,20,43,34,31,53,89,45,0,29,14,94,34,19,19,40,20,18,48,29,13,7,2
145.6,-40.8,43,58,21,44,35,30,54,86,46,0,29,17,94,34,20,20,40,20,18,46,29,13,9,3
146,-40.8,46,55,22,46,40,32,58,78,49,0,28,22,92,36,22,23,39,26,22,42,32,16,7,1
146.4,-40.8,38,36,21,47,34,23,63,41,25,0,22,38,90,29,33,23,25,25,21,17,29,14,11,1
146.8,-40.8,15,42,5,30,10,3,64,56,14,0,12,5,94,10,21,14,8,16,5,9,10,13,8,2
147.2,-40.8,26,46,7,40,18,15,71,43,30,0,19,3,95,28,26,20,13,30,25,8,27,12,12,2
147.6,-40.8,32,48,7,47,21,23,73,37,38,0,22,0,96,40,29,22,17,36,36,7,38,10,8,2
148,-40.8,40,41,20,60,23,27,61,36,42,13,27,12,99,58,37,19,23,38,38,9,44,14,11,2
148.4,-40.8,40,38,26,59,22,25,54,41,38,20,26,20,99,55,37,18,25,34,33,14,42,16,10,3
148.8,-40.8,39,37,28,57,22,24,50,45,34,23,26,23,98,51,37,18,25,31,29,16,40,16,11,1
144.4,-40.4,46,62,27,46,30,34,54,85,52,10,32,22,79,43,25,17,38,25,22,50,33,16,7,2
144.8,-40.4,42,60,17,43,31,32,53,87,48,0,27,12,85,38,19,18,36,23,19,50,29,15,8,2
145.2,-40.4,42,59,18,43,32,31,53,88,47,0,28,12,89,36,19,19,37,21,18,49,29,14,8,2
145.6,-40.4,43,58,20,43,34,30,54,87,45,0,29,15,94,33,20,19,39,19,18,47,28,14,10,3
147.6,-40.4,28,33,17,54,13,15,51,37,29,10,20,9,98,46,35,13,13,26,20,13,27,15,11,3
148,-40.4,31,33,21,57,14,16,48,38,31,14,22,13,99,50,36,13,15,27,21,14,29,15,11,1
148.4,-40.4,34,32,25,59,16,19,46,37,33,19,24,18,99,54,38,13,18,28,23,16,32,17,10,1
148.8,-40.4,34,32,26,59,16,19,45,39,32,20,24,19,99,53,38,13,19,27,22,17,32,17,11,1
147.6,-40,28,31,19,55,12,14,47,37,27,12,20,11,98,47,36,12,12,24,17,14,25,16,11,3
148,-40,30,31,21,56,13,15,46,38,29,15,21,13,99,49,36,12,14,25,18,15,26,17,9,2
148.4,-40,31,31,24,58,14,16,45,38,30,17,23,16,99,51,37,12,16,25,19,16,28,18,12,1
148.8,-40,33,31,26,59,15,18,44,38,31,20,23,18,99,53,38,12,17,26,20,17,30,17,12,1
147.6,-39.6,30,28,24,60,11,14,41,36,30,16,22,18,99,54,40,10,14,23,16,17,24,20,10,3
148,-39.6,33,36,25,60,13,16,44,43,37,14,20,26,94,54,43,11,17,23,18,17,27,17,9,2
148.4,-39.6,33,35,25,60,13,16,43,43,36,15,20,25,95,54,43,10,16,23,17,17,27,16,11,2
142.8,-39.2,71,67,41,75,55,46,56,64,89,27,18,76,76,48,88,47,51,51,56,21,62,11,8,2
143.2,-39.2,80,70,67,79,53,51,61,75,76,42,57,85,59,82,73,43,59,46,55,38,63,11,7,2
143.6,-39.2,77,68,69,74,50,50,61,74,72,46,55,87,55,77,68,35,59,48,54,38,65,12,7,1
144,-39.2,76,65,73,72,46,50,60,71,69,54,59,88,52,74,68,30,58,46,52,39,64,14,8,1
145.6,-39.2,52,33,45,61,20,47,52,51,17,9,45,69,78,36,68,12,12,54,57,10,69,12,10,2
146,-39.2,55,51,56,61,20,42,61,65,33,33,36,85,77,35,70,12,8,59,48,21,59,12,10,1
146.4,-39.2,58,69,66,61,21,36,68,80,54,55,28,99,74,37,71,12,12,58,36,33,48,13,18,1
146.8,-39.2,58,76,67,62,23,29,67,84,72,68,24,91,68,45,68,13,21,46,23,44,33,18,10,1
147.2,-39.2,51,54,43,67,28,29,47,60,68,31,16,70,77,60,59,15,35,30,28,29,34,20,11,1
141.2,-38.8,51,59,35,65,24,36,63,60,65,48,15,44,49,30,96,27,6,58,32,38,49,12,6,2
141.6,-38.8,53,63,36,66,25,36,68,59,69,52,14,47,58,27,98,29,7,56,31,38,49,12,6,3
142,-38.8,59,66,44,67,33,38,71,61,73,62,14,59,68,24,100,34,16,57,35,34,52,11,7,4
142.4,-38.8,60,55,42,66,42,40,55,38,86,51,16,54,73,16,100,33,38,49,40,28,53,11,9,7
142.8,-38.8,64,57,44,70,46,41,53,44,86,38,24,63,72,30,97,35,46,46,46,25,52,11,9,2
